yaw:  66.600027125 Yaw vel:  1.273 Yaw acc:  -10.06 yaw Deseada:  107.510452646 Control: 1602.27439247 Error:  -40.9104255214 
yaw:  73.8851000636 Yaw vel:  1.199 Yaw acc:  -10.01 yaw Deseada:  106.381287267 Control: 1581.21860338 Error:  -32.4961872032 
yaw:  80.470829933 Yaw vel:  1.199 Yaw acc:  -10.01 yaw Deseada:  104.778496592 Control: 1560.7478904 Error:  -24.3076666592 
yaw:  80.470829933 Yaw vel:  1.099 Yaw acc:  -10.09 yaw Deseada:  102.719372297 Control: 1555.61600615 Error:  -22.2485423644 
yaw:  86.1539571338 Yaw vel:  1.099 Yaw acc:  -10.09 yaw Deseada:  100.225858403 Control: 1535.15851147 Error:  -14.0719012689 
yaw:  86.1539571338 Yaw vel:  0.957 Yaw acc:  -10.08 yaw Deseada:  97.3242639674 Control: 1527.91822982 Error:  -11.1703068336 
yaw:  91.0664204302 Yaw vel:  0.957 Yaw acc:  -10.08 yaw Deseada:  94.044920293 Control: 1507.42497224 Error:  -2.97849986282 
yaw:  91.0664204302 Yaw vel:  0.784 Yaw acc:  -10.07 yaw Deseada:  90.4217871679 Control: 1498.37900692 Error:  0.64463326226 
yaw:  91.0664204302 Yaw vel:  0.784 Yaw acc:  -10.07 yaw Deseada:  86.4920133509 Control: 1488.55377686 Error:  4.57440707928 
yaw:  94.6940909927 Yaw vel:  0.543 Yaw acc:  -10.31 yaw Deseada:  82.2954570942 Control: 1468.98309786 Error:  12.3986338985 
yaw:  94.6940909927 Yaw vel:  0.543 Yaw acc:  -10.31 yaw Deseada:  77.87417303 Control: 1457.93872521 Error:  16.8199179627 
yaw:  97.1302487149 Yaw vel:  0.381 Yaw acc:  -9.77 yaw Deseada:  73.2718721847 Control: 1440.33578487 Error:  23.8583765302 
yaw:  98.8902518602 Yaw vel:  0.381 Yaw acc:  -9.77 yaw Deseada:  68.5333622378 Control: 1424.09090545 Error:  30.3568896224 
yaw:  98.8902518602 Yaw vel:  0.278 Yaw acc:  -10.06 yaw Deseada:  63.7039753974 Control: 1412.02177258 Error:  35.1862764628 
yaw:  99.7318677698 Yaw vel:  0.278 Yaw acc:  -10.06 yaw Deseada:  58.8289914274 Control: 1397.72797111 Error:  40.9028763424 
yaw:  99.7318677698 Yaw vel:  0.1 Yaw acc:  -10.03 yaw Deseada:  53.953063418 Control: 1385.54033423 Error:  45.7788043518 
yaw:  99.7318677698 Yaw vel:  0.1 Yaw acc:  -10.03 yaw Deseada:  49.1196538563 Control: 1373.45692177 Error:  50.6122139135 
yaw:  99.6102630818 Yaw vel:  -0.074 Yaw acc:  -9.98 yaw Deseada:  44.3704884079 Control: 1361.88855511 Error:  55.2397746739 
yaw:  98.1614023739 Yaw vel:  -0.074 Yaw acc:  -9.98 yaw Deseada:  39.7450345899 Control: 1353.95083821 Error:  58.416367784 
yaw:  98.1614023739 Yaw vel:  -0.339 Yaw acc:  -9.79 yaw Deseada:  35.2800121771 Control: 1342.78494009 Error:  62.8813901968 
yaw:  95.0359966022 Yaw vel:  -0.339 Yaw acc:  -9.79 yaw Deseada:  31.0089417659 Control: 1339.92939076 Error:  64.0270548363 
yaw:  95.0359966022 Yaw vel:  -0.609 Yaw acc:  -9.71 yaw Deseada:  26.9617374089 Control: 1329.80385343 Error:  68.0742591933 
yaw:  90.854254264 Yaw vel:  -0.609 Yaw acc:  -9.71 yaw Deseada:  23.1643486508 Control: 1330.77623291 Error:  67.6899056132 
yaw:  90.854254264 Yaw vel:  -0.809 Yaw acc:  -9.81 yaw Deseada:  19.6384566383 Control: 1321.95136123 Error:  71.2157976257 
yaw:  90.854254264 Yaw vel:  -0.809 Yaw acc:  -9.81 yaw Deseada:  16.4012282619 Control: 1313.85903969 Error:  74.4530260021 
yaw:  85.0690430558 Yaw vel:  -0.986 Yaw acc:  -9.95 yaw Deseada:  13.4651315137 Control: 1320.99760929 Error:  71.6039115421 
yaw:  85.0690430558 Yaw vel:  -0.986 Yaw acc:  -9.95 yaw Deseada:  10.8378144396 Control: 1314.41511606 Error:  74.2312286162 
yaw:  78.5747011175 Yaw vel:  -1.161 Yaw acc:  -9.87 yaw Deseada:  8.52204921534 Control: 1324.87920399 Error:  70.0526519022 
yaw:  71.2869165939 Yaw vel:  -1.161 Yaw acc:  -9.87 yaw Deseada:  6.51574201769 Control: 1338.0857556 Error:  64.7711745762 
yaw:  71.2869165939 Yaw vel:  -1.269 Yaw acc:  -10.01 yaw Deseada:  4.81200848801 Control: 1333.80831325 Error:  66.4749081058 
yaw:  71.2869165939 Yaw vel:  -1.269 Yaw acc:  -10.01 yaw Deseada:  3.39931371654 Control: 1330.27733108 Error:  67.8876028773 
yaw:  63.6004266076 Yaw vel:  -1.301 Yaw acc:  -10.19 yaw Deseada:  2.26167482211 Control: 1346.6700938 Error:  61.3387517855 
yaw:  63.6004266076 Yaw vel:  -1.301 Yaw acc:  -10.19 yaw Deseada:  1.37892337229 Control: 1344.4439542 Error:  62.2215032353 
yaw:  56.3795711076 Yaw vel:  -1.175 Yaw acc:  -9.96 yaw Deseada:  0.727024096509 Control: 1360.8856549 Error:  55.6525470111 
