yaw:  -50.770575365 Yaw vel:  -1.27 Yaw acc:  -9.91 yaw Deseada:  -90.7934718444 Control: 1399.97551727 Error:  40.0228964794 
yaw:  -50.770575365 Yaw vel:  -1.27 Yaw acc:  -9.91 yaw Deseada:  -90.5763054982 Control: 1400.48663814 Error:  39.8057301332 
yaw:  -58.0213095275 Yaw vel:  -1.174 Yaw acc:  -9.87 yaw Deseada:  -89.8962451223 Control: 1420.34784123 Error:  31.8749355948 
yaw:  -58.0213095275 Yaw vel:  -1.174 Yaw acc:  -9.87 yaw Deseada:  -88.7607008998 Control: 1423.15655799 Error:  30.7393913723 
yaw:  -64.6435399278 Yaw vel:  -1.052 Yaw acc:  -9.79 yaw Deseada:  -87.1821037574 Control: 1443.68995773 Error:  22.5385638296 
yaw:  -64.6435399278 Yaw vel:  -1.052 Yaw acc:  -9.79 yaw Deseada:  -85.1777550176 Control: 1448.67334943 Error:  20.5342150898 
yaw:  -70.3457028658 Yaw vel:  -0.916 Yaw acc:  -9.83 yaw Deseada:  -82.7696130949 Control: 1468.97617967 Error:  12.423910229 
yaw:  -70.3457028658 Yaw vel:  -0.916 Yaw acc:  -9.83 yaw Deseada:  -79.9840200119 Control: 1475.91655462 Error:  9.63831714602 
yaw:  -75.4459280625 Yaw vel:  -0.769 Yaw acc:  -9.76 yaw Deseada:  -76.8513713072 Control: 1496.52287973 Error:  1.40544324474 
yaw:  -75.4459280625 Yaw vel:  -0.769 Yaw acc:  -9.76 yaw Deseada:  -73.4057336495 Control: 1505.11575474 Error:  -2.04019441301 
yaw:  -79.6643348562 Yaw vel:  -0.637 Yaw acc:  -9.82 yaw Deseada:  -69.6844151631 Control: 1524.98497746 Error:  -9.97991969303 
yaw:  -79.6643348562 Yaw vel:  -0.637 Yaw acc:  -9.82 yaw Deseada:  -65.727494095 Control: 1534.85963109 Error:  -13.9368407612 
yaw:  -83.0427513253 Yaw vel:  -0.501 Yaw acc:  -9.86 yaw Deseada:  -61.5773119974 Control: 1553.69694513 Error:  -21.465439328 
yaw:  -83.0427513253 Yaw vel:  -0.501 Yaw acc:  -9.86 yaw Deseada:  -57.2779380727 Control: 1564.43107376 Error:  -25.7648132527 
yaw:  -85.6875781569 Yaw vel:  -0.39 Yaw acc:  -9.84 yaw Deseada:  -52.8746117031 Control: 1582.06362567 Error:  -32.8129664538 
yaw:  -85.6875781569 Yaw vel:  -0.39 Yaw acc:  -9.84 yaw Deseada:  -48.4131704763 Control: 1593.20577175 Error:  -37.2744076805 
yaw:  -87.6036033134 Yaw vel:  -0.243 Yaw acc:  -9.74 yaw Deseada:  -43.9394712086 Control: 1609.18861589 Error:  -43.6641321048 
