yaw:  -79.6211680606 Yaw vel:  1.485 Yaw acc:  -10.34 yaw Deseada:  -9.59935847866 Control: 1675.03257384 Error:  -70.021809582 
yaw:  -79.6211680606 Yaw vel:  1.485 Yaw acc:  -10.34 yaw Deseada:  -7.44993917101 Control: 1680.43625114 Error:  -72.1712288896 
yaw:  -70.8611089406 Yaw vel:  1.552 Yaw acc:  -10.04 yaw Deseada:  -5.61333485115 Control: 1663.09309361 Error:  -65.2477740895 
yaw:  -70.8611089406 Yaw vel:  1.552 Yaw acc:  -10.04 yaw Deseada:  -4.07860789074 Control: 1666.96209105 Error:  -66.7825010499 
yaw:  -61.9550818479 Yaw vel:  1.542 Yaw acc:  -10.03 yaw Deseada:  -2.83032752471 Control: 1647.78275782 Error:  -59.1247543232 
yaw:  -61.9550818479 Yaw vel:  1.542 Yaw acc:  -10.03 yaw Deseada:  -1.84882883098 Control: 1650.26936542 Error:  -60.1062530169 
yaw:  -53.1679376127 Yaw vel:  1.514 Yaw acc:  -10.0 yaw Deseada:  -1.1105282637 Control: 1630.11291552 Error:  -52.057409349 
yaw:  -53.1679376127 Yaw vel:  1.514 Yaw acc:  -10.0 yaw Deseada:  -0.588291480301 Control: 1631.45110102 Error:  -52.5796461324 
yaw:  -44.8041728985 Yaw vel:  1.428 Yaw acc:  -10.1 yaw Deseada:  -0.251848510898 Control: 1611.3502927 Error:  -44.5523243876 
yaw:  -44.8041728985 Yaw vel:  1.428 Yaw acc:  -10.1 yaw Deseada:  -0.0682506926145 Control: 1611.84050343 Error:  -44.7359222059 
yaw:  -37.0354850007 Yaw vel:  1.428 Yaw acc:  -10.1 yaw Deseada:  -0.00236323940373 Control: 1592.55352732 Error:  -37.0331217613 
yaw:  -37.0354850007 Yaw vel:  1.302 Yaw acc:  -10.01 yaw Deseada:  -0.0173868467695 Control: 1592.54518829 Error:  -37.018098154 
yaw:  -29.9750399085 Yaw vel:  1.193 Yaw acc:  -9.98 yaw Deseada:  -0.0754013472105 Control: 1574.72204716 Error:  -29.8996385613 
yaw:  -29.9750399085 Yaw vel:  1.193 Yaw acc:  -9.98 yaw Deseada:  -0.137924140969 Control: 1574.59255187 Error:  -29.8371157675 
yaw:  -23.4003647002 Yaw vel:  1.091 Yaw acc:  -10.02 yaw Deseada:  -0.166475931707 Control: 1558.05963685 Error:  -23.2338887685 
yaw:  -23.4003647002 Yaw vel:  1.091 Yaw acc:  -10.02 yaw Deseada:  -0.123146200629 Control: 1558.19321083 Error:  -23.2772184996 
yaw:  -17.5631535544 Yaw vel:  0.961 Yaw acc:  -9.97 yaw Deseada:  0.0288491434321 Control: 1543.95841458 Error:  -17.5920026978 
yaw:  -17.5631535544 Yaw vel:  0.961 Yaw acc:  -9.97 yaw Deseada:  0.32462539636 Control: 1544.72057058 Error:  -17.8877789508 
yaw:  -12.5131584227 Yaw vel:  0.834 Yaw acc:  -10.04 yaw Deseada:  0.797109229201 Control: 1533.25828838 Error:  -13.3102676519 
yaw:  -12.5131584227 Yaw vel:  0.834 Yaw acc:  -10.04 yaw Deseada:  1.47654835359 Control: 1534.97684644 Error:  -13.9897067763 
yaw:  -8.1943777303 Yaw vel:  0.703 Yaw acc:  -9.98 yaw Deseada:  2.39005724821 Control: 1526.44816094 Error:  -10.5844349785 
