yaw:  71.7017276425 Yaw vel:  0.268 Yaw acc:  -9.86 yaw Deseada:  49.6965626722 Control: 1444.98208914 Error:  22.0051649703 
yaw:  71.7017276425 Yaw vel:  0.227 Yaw acc:  -9.71 yaw Deseada:  49.7268270117 Control: 1445.06284115 Error:  21.9749006308 
yaw:  72.6929315251 Yaw vel:  0.171 Yaw acc:  -9.83 yaw Deseada:  50.1377980549 Control: 1443.61038865 Error:  22.5551334701 
yaw:  72.6929315251 Yaw vel:  0.171 Yaw acc:  -9.83 yaw Deseada:  50.928068228 Control: 1445.59026268 Error:  21.764863297 
yaw:  73.4091519916 Yaw vel:  0.171 Yaw acc:  -9.83 yaw Deseada:  52.0903443842 Control: 1446.70434729 Error:  21.3188076074 
yaw:  73.4091519916 Yaw vel:  0.131 Yaw acc:  -9.85 yaw Deseada:  53.6115501534 Control: 1450.51065453 Error:  19.7976018383 
yaw:  73.8972373097 Yaw vel:  0.082 Yaw acc:  -9.83 yaw Deseada:  55.4730117409 Control: 1453.94364201 Error:  18.4242255688 
yaw:  73.8972373097 Yaw vel:  0.082 Yaw acc:  -9.83 yaw Deseada:  57.6507245047 Control: 1459.3903865 Error:  16.246512805 
yaw:  74.2144244646 Yaw vel:  0.057 Yaw acc:  -9.8 yaw Deseada:  60.1156964772 Control: 1464.75975623 Error:  14.0987279874 
yaw:  74.2144244646 Yaw vel:  0.057 Yaw acc:  -9.8 yaw Deseada:  62.8343638932 Control: 1471.55817187 Error:  11.3800605714 
yaw:  74.469709615 Yaw vel:  0.057 Yaw acc:  -9.8 yaw Deseada:  65.7690727475 Control: 1478.25661015 Error:  8.70063686749 
yaw:  74.469709615 Yaw vel:  0.044 Yaw acc:  -9.84 yaw Deseada:  68.8786194578 Control: 1486.03179266 Error:  5.59109015721 
yaw:  74.469709615 Yaw vel:  0.044 Yaw acc:  -9.84 yaw Deseada:  72.1188428556 Control: 1494.13275013 Error:  2.35086675939 
yaw:  74.7177001234 Yaw vel:  0.052 Yaw acc:  -9.87 yaw Deseada:  75.4432589932 Control: 1501.82331192 Error:  -0.725558869816 
yaw:  75.0040694647 Yaw vel:  0.052 Yaw acc:  -9.87 yaw Deseada:  78.8037296348 Control: 1509.5085571 Error:  -3.79966017005 
yaw:  75.0040694647 Yaw vel:  0.061 Yaw acc:  -9.94 yaw Deseada:  82.1511548182 Control: 1517.87795538 Error:  -7.14708535353 
yaw:  75.3350057904 Yaw vel:  0.061 Yaw acc:  -9.94 yaw Deseada:  85.4361795262 Control: 1525.26197193 Error:  -10.1011737358 
yaw:  75.3350057904 Yaw vel:  0.069 Yaw acc:  -9.94 yaw Deseada:  88.6099043017 Control: 1533.19695483 Error:  -13.2748985113 
yaw:  75.6868698157 Yaw vel:  0.073 Yaw acc:  -9.92 yaw Deseada:  91.6245895884 Control: 1539.85244428 Error:  -15.9377197728 
yaw:  75.6868698157 Yaw vel:  0.073 Yaw acc:  -9.92 yaw Deseada:  94.4343436635 Control: 1546.87727802 Error:  -18.7474738478 
yaw:  76.0530157665 Yaw vel:  0.075 Yaw acc:  -9.89 yaw Deseada:  96.9957842682 Control: 1552.36363469 Error:  -20.9427685017 
yaw:  76.0530157665 Yaw vel:  0.075 Yaw acc:  -9.89 yaw Deseada:  99.26866442 Control: 1558.04607163 Error:  -23.2156486535 
yaw:  76.4347891902 Yaw vel:  0.083 Yaw acc:  -9.92 yaw Deseada:  101.216453402 Control: 1561.95894859 Error:  -24.7816642121 
yaw:  76.4347891902 Yaw vel:  0.083 Yaw acc:  -9.92 yaw Deseada:  102.806864576 Control: 1565.93505062 Error:  -26.3720753861 
yaw:  76.9713620212 Yaw vel:  0.083 Yaw acc:  -9.92 yaw Deseada:  104.012322421 Control: 1567.60444569 Error:  -27.0409603999 
yaw:  76.9713620212 Yaw vel:  0.135 Yaw acc:  -9.92 yaw Deseada:  104.810362083 Control: 1569.5999394 Error:  -27.8390000614 
yaw:  77.7365139629 Yaw vel:  0.167 Yaw acc:  -9.79 yaw Deseada:  105.183955684 Control: 1568.61740761 Error:  -27.4474417207 
yaw:  77.7365139629 Yaw vel:  0.167 Yaw acc:  -9.79 yaw Deseada:  105.1217607 Control: 1568.46292678 Error:  -27.3852467372 
yaw:  78.7324579968 Yaw vel:  0.211 Yaw acc:  -9.83 yaw Deseada:  104.618286828 Control: 1564.70999044 Error:  -25.8858288312 
yaw:  78.7324579968 Yaw vel:  0.211 Yaw acc:  -9.83 yaw Deseada:  103.673978939 Control: 1562.35091721 Error:  -24.9415209419 
yaw:  79.9378975928 Yaw vel:  0.211 Yaw acc:  -9.83 yaw Deseada:  102.295214929 Control: 1555.88539862 Error:  -22.3573173357 
yaw:  79.9378975928 Yaw vel:  0.242 Yaw acc:  -9.84 yaw Deseada:  100.49421849 Control: 1551.38530078 Error:  -20.5563208968 
yaw:  81.2682954997 Yaw vel:  0.253 Yaw acc:  -9.86 yaw Deseada:  98.2888880532 Control: 1542.54068197 Error:  -17.0205925535 
yaw:  81.2682954997 Yaw vel:  0.253 Yaw acc:  -9.86 yaw Deseada:  95.7025443645 Control: 1536.07772332 Error:  -14.4342488647 
yaw:  82.6166431438 Yaw vel:  0.253 Yaw acc:  -9.86 yaw Deseada:  92.763600315 Control: 1525.35430063 Error:  -10.1469571712 
yaw:  82.6166431438 Yaw vel:  0.246 Yaw acc:  -9.91 yaw Deseada:  89.5051577785 Control: 1517.21133714 Error:  -6.88851463471 
yaw:  83.8560970819 Yaw vel:  0.225 Yaw acc:  -9.92 yaw Deseada:  85.9645372456 Control: 1505.25650625 Error:  -2.10844016374 
yaw:  83.8560970819 Yaw vel:  0.225 Yaw acc:  -9.92 yaw Deseada:  82.1827470186 Control: 1495.80507974 Error:  1.67335006331 
yaw:  84.9243045171 Yaw vel:  0.196 Yaw acc:  -9.82 yaw Deseada:  78.2038995966 Control: 1483.18358155 Error:  6.72040492053 
yaw:  84.9243045171 Yaw vel:  0.196 Yaw acc:  -9.82 yaw Deseada:  74.0745836427 Control: 1472.86309435 Error:  10.8497208745 
yaw:  85.8309165068 Yaw vel:  0.17 Yaw acc:  -9.87 yaw Deseada:  69.8432005597 Control: 1460.01502958 Error:  15.9877159471 
yaw:  85.8309165068 Yaw vel:  0.17 Yaw acc:  -9.87 yaw Deseada:  65.5592752145 Control: 1449.30782406 Error:  20.2716412923 
yaw:  86.615111016 Yaw vel:  0.152 Yaw acc:  -9.87 yaw Deseada:  61.2727507184 Control: 1436.62862717 Error:  25.3423602976 
yaw:  86.615111016 Yaw vel:  0.152 Yaw acc:  -9.87 yaw Deseada:  57.033277403 Control: 1426.03248154 Error:  29.581833613 
yaw:  87.2738349501 Yaw vel:  0.152 Yaw acc:  -9.87 yaw Deseada:  52.8895062141 Control: 1414.02452747 Error:  34.384328736 
yaw:  87.2738349501 Yaw vel:  0.126 Yaw acc:  -9.78 yaw Deseada:  48.8883966802 Control: 1404.02419962 Error:  38.3854382699 
