yaw:  -49.0397610331 Yaw vel:  0.44 Yaw acc:  -9.86 yaw Deseada:  -38.584199486 Control: 1526.13486997 Error:  -10.4555615471 
yaw:  -49.0397610331 Yaw vel:  0.44 Yaw acc:  -9.86 yaw Deseada:  -37.8344207153 Control: 1528.01504241 Error:  -11.2053403178 
yaw:  -46.6622404849 Yaw vel:  0.412 Yaw acc:  -9.8 yaw Deseada:  -37.1080993724 Control: 1523.88162771 Error:  -9.55414111244 
yaw:  -46.6622404849 Yaw vel:  0.412 Yaw acc:  -9.8 yaw Deseada:  -36.4062236433 Control: 1525.6416254 Error:  -10.2560168416 
yaw:  -44.5220895009 Yaw vel:  0.412 Yaw acc:  -9.8 yaw Deseada:  -35.7297463447 Control: 1521.97755637 Error:  -8.79234315624 
yaw:  -44.5220895009 Yaw vel:  0.374 Yaw acc:  -9.86 yaw Deseada:  -35.0795839003 Control: 1523.60773042 Error:  -9.44250560066 
yaw:  -42.4908868644 Yaw vel:  0.347 Yaw acc:  -9.85 yaw Deseada:  -34.4566153554 Control: 1520.08250278 Error:  -8.03427150896 
yaw:  -42.4908868644 Yaw vel:  0.347 Yaw acc:  -9.85 yaw Deseada:  -33.8616814333 Control: 1521.57435523 Error:  -8.62920543108 
yaw:  -40.724166228 Yaw vel:  0.311 Yaw acc:  -9.88 yaw Deseada:  -33.295583632 Control: 1518.56874913 Error:  -7.42858259605 
yaw:  -40.724166228 Yaw vel:  0.311 Yaw acc:  -9.88 yaw Deseada:  -32.7590833642 Control: 1519.91391686 Error:  -7.96508286378 
yaw:  -39.0890769973 Yaw vel:  0.283 Yaw acc:  -9.83 yaw Deseada:  -32.252901141 Control: 1517.08789438 Error:  -6.83617585636 
yaw:  -39.0890769973 Yaw vel:  0.283 Yaw acc:  -9.83 yaw Deseada:  -31.7777157982 Control: 1518.27947428 Error:  -7.31136119911 
yaw:  -37.5983506449 Yaw vel:  0.264 Yaw acc:  -9.84 yaw Deseada:  -31.3341637696 Control: 1515.65810656 Error:  -6.26418687535 
yaw:  -37.5983506449 Yaw vel:  0.264 Yaw acc:  -9.84 yaw Deseada:  -30.9228384041 Control: 1516.68970778 Error:  -6.67551224087 
